Region,Id,Latitude,Longitude,Population,Contribution_GDP
Tanger-Tétouan-Al Hoceima,TTH,35.783621,-5.809643,3813854,10.80%
Oriental,OR,34.68,-1.91,2453229,4.90%
Fès-Meknès,FM,34.03712,-5.002964,4405862,8.40%
Rabat-Salé-Kénitra,RSK,34.02,-6.83,4867744,15.60%
Béni Mellal-Khénifra,BK,32.320296,-6.380926,2613137,5.70%
Casablanca-Settat,CS,33.59,-7.61,7408213,32.30%
Marrakech-Safi,MS,31.63,-8,4774413,8.40%
Drâa-Tafilalet,DT,31.932124,-4.424149,1693786,2.50%
Souss-Massa,SM,30.42144,-9.583039,2896152,6.70%
Guelmim-Oued Noun,GO,28.986355,-10.057375,446225,1.40%
Laâyoune-Sakia El Hamra,LS,27.158507,-13.207878,400442,1.70%
Dakhla-Oued Ed-Dahab,DO,23.692847,-15.938255,178600,1.30%
,,,,35951657,
